Scenario,Buffer Size,Arrival Rate,Users,Arrivals,Departures,Loss Rate,Packets Lost,Average Users,Average Delay,Average Queue Delay,Average Waiting Delay,Average Buffer Occupancy,Loss Probability,Busy Time Ratio
one_drone_two_antennas,inf,0.5,-,49757,49756,0.0,0,3.276050199343781,4.181362702105117,2.1848832967429535,1.996479405362153,2.0809534336877222,0.0,0.49676217333729256
one_drone_two_antennas,inf,0.8,-,79691,79685,0.0,0,6.263926977853731,6.50503653588882,4.500709502775587,2.004327033113317,5.179443098969771,0.0,0.7986236344904422
one_drone_two_antennas,inf,1.0,-,99637,99318,0.0,0,90.76928068172629,89.88395130298568,87.88686153470472,1.9970897682810536,88.8735208807973,0.0,0.9918039689055771
one_drone_two_antennas,inf,1.2,-,120149,100349,0.0,0,10110.395323150613,8457.152284552427,8455.1594626819,1.9928218704537457,8474.628161699224,0.0,0.9999905036169382
one_drone_two_antennas,10,0.5,-,50162,50147,0.00011999813753428256,12,3.2709269212906844,4.149343483277721,2.1530135500259298,1.9963299332517845,2.0589689406323513,0.00023922491128742872,0.5005724115001993
one_drone_two_antennas,10,0.8,-,80321,78663,0.016559988170678993,1656,5.4356359475919,5.545812729432971,3.551018086983475,1.9947946424495901,4.118375020231322,0.02061727319131983,0.7846075081490346
one_drone_two_antennas,10,1.0,-,100367,91533,0.08827971113594557,8828,7.66716926145049,7.3313058065221135,5.332215743088658,1.9990900634334545,5.64516225452589,0.08795719708669184,0.9149421934737295
one_drone_two_antennas,10,1.2,-,119983,97362,0.22611929567063324,22612,9.36205449828014,8.76297185415436,6.768951773765628,1.9940200803886896,6.286640607419384,0.18846003183784368,0.9707316929832107
one_drone_two_antennas,20,0.5,-,50039,50038,0.0,0,3.3028866399570176,4.200702993959452,2.195066772747459,2.0056362212120113,2.1010411878734585,0.0,0.5017901261850333
one_drone_two_antennas,20,0.8,-,80278,80120,0.001469986323654556,147,6.27922310849212,6.47642304274286,4.459533206180211,2.0168898365627688,5.137509653952515,0.001831136799621316,0.8080011742768407
one_drone_two_antennas,20,1.0,-,99699,95136,0.045449744737476434,4545,12.442925394978976,12.046582300315574,10.044020673453291,2.0025616268622444,10.466955536163853,0.04558721752474949,0.9526476519984123
one_drone_two_antennas,20,1.2,-,120372,99243,0.21117891566243135,21118,18.35422169614654,17.65860285267297,15.6509558875648,2.007646965108459,13.665212840195395,0.17543947097331605,0.9962536259054448
one_drone_two_antennas,50,0.5,-,49965,49963,0.0,0,3.2485211648145658,4.144358992374153,2.1554645898393585,1.9888944025347557,2.065325728009607,0.0,0.49687848956316827
one_drone_two_antennas,50,0.8,-,80101,80099,0.0,0,6.36083947265366,6.572387294378584,4.575813734194272,1.9965735601843866,5.262256401293367,0.0,0.7996394355839591
one_drone_two_antennas,50,1.0,-,100249,98051,0.021789996511508293,2179,28.31066950655197,27.858703141843613,25.857149024543446,2.0015541172998863,26.245179503037438,0.021735877664615107,0.9813314776721551
